account_id,tenant_id,industry,visits,spend,account_age_days,usage_frequency,support_tickets,renewal_days,last_activity_at,converted,opportunity_value,closed_at
acct_00072,tenant_035,manufacturing,11,7176.83,494,55.7,1,53,2025-12-08,1,9899.33,2026-03-29
acct_00073,tenant_036,healthcare,8,2593.05,303,43.2,1,276,2025-12-19,0,0.0,
acct_00074,tenant_000,finance,16,6492.84,144,52.2,0,274,2025-12-18,1,13145.93,2026-03-01
acct_00075,tenant_001,healthcare,5,1198.32,92,0.0,1,262,2025-12-12,0,0.0,
acct_00076,tenant_002,retail,10,6716.19,1068,39.3,1,118,2025-12-12,0,0.0,
acct_00077,tenant_003,finance,11,19605.15,600,70.8,1,295,2026-01-02,0,0.0,
acct_00078,tenant_004,healthcare,4,1443.29,123,28.3,2,53,2025-12-25,0,0.0,
acct_00079,tenant_005,retail,18,14831.22,121,73.4,0,81,2026-01-03,1,6903.01,2026-04-04
acct_00080,tenant_006,saas,5,6052.85,166,26.2,2,83,2025-12-08,0,0.0,
acct_00081,tenant_007,manufacturing,8,14286.21,221,47.2,0,233,2026-01-02,0,0.0,
acct_00082,tenant_008,manufacturing,13,19950.43,548,55.1,1,59,2026-01-02,0,0.0,
acct_00083,tenant_009,retail,11,2491.72,227,49.6,5,342,2025-12-20,0,0.0,
acct_00084,tenant_010,finance,13,16517.25,158,63.9,0,78,2025-12-21,0,0.0,
acct_00085,tenant_011,healthcare,3,1637.21,510,14.6,1,93,2026-01-01,0,0.0,
acct_00086,tenant_012,saas,3,4694.07,224,44.1,2,169,2025-12-29,0,0.0,
acct_00087,tenant_013,saas,5,3911.7,78,30.3,2,213,2025-12-27,0,0.0,
acct_00088,tenant_014,saas,4,1492.28,379,3.2,3,224,2025-12-29,0,0.0,
acct_00089,tenant_015,finance,4,11430.82,504,31.8,0,192,2025-12-25,0,0.0,
acct_00090,tenant_016,finance,16,36189.47,585,70.3,0,2,2025-12-18,1,25974.62,2026-02-14
acct_00091,tenant_017,manufacturing,4,2116.65,233,62.1,3,100,2025-12-30,0,0.0,
acct_00092,tenant_018,manufacturing,8,2308.24,307,17.9,0,306,2026-01-01,0,0.0,
acct_00093,tenant_019,saas,3,6474.1,352,62.2,4,257,2025-12-15,0,0.0,
acct_00094,tenant_020,manufacturing,7,5094.67,168,38.3,2,170,2026-01-05,0,0.0,
acct_00095,tenant_021,finance,7,5601.42,334,36.7,3,123,2025-12-26,1,8345.75,2026-02-03
acct_00096,tenant_022,finance,17,18500.66,167,81.7,0,121,2025-12-16,1,8075.17,2026-02-02
acct_00097,tenant_023,finance,8,22290.28,121,78.0,3,292,2026-01-01,1,22480.22,2026-01-21
acct_00098,tenant_024,saas,9,18882.63,469,49.2,0,43,2025-12-26,0,0.0,
acct_00099,tenant_025,saas,12,9912.33,226,68.4,0,265,2025-12-13,1,15708.15,2026-02-27
acct_00100,tenant_026,healthcare,5,14573.4,335,75.4,1,282,2026-01-04,0,0.0,
acct_00101,tenant_027,retail,10,14014.09,312,56.6,1,234,2025-12-21,0,0.0,
acct_00102,tenant_028,manufacturing,11,8120.44,183,59.2,0,268,2025-12-27,0,0.0,
acct_00103,tenant_029,finance,7,6229.5,911,43.6,2,277,2025-12-19,0,0.0,
acct_00104,tenant_030,manufacturing,6,4722.96,228,33.9,1,21,2025-12-29,0,0.0,
acct_00105,tenant_031,healthcare,6,16866.31,358,55.6,2,110,2025-12-27,0,0.0,
acct_00106,tenant_032,manufacturing,1,1625.9,815,0.0,3,334,2025-12-26,0,0.0,
acct_00107,tenant_033,healthcare,7,6277.38,178,65.7,0,272,2025-12-20,1,2972.36,2026-02-28
acct_00108,tenant_034,saas,6,3314.59,223,18.3,3,5,2025-12-22,0,0.0,
acct_00109,tenant_035,healthcare,5,6944.39,135,47.5,0,151,2026-01-01,0,0.0,
acct_00110,tenant_036,manufacturing,7,1395.38,230,49.6,0,178,2025-12-22,0,0.0,
acct_00111,tenant_000,finance,10,19692.13,677,64.7,0,339,2025-12-07,1,13763.32,2026-01-19
acct_00112,tenant_001,healthcare,13,7785.62,321,47.1,4,253,2025-12-20,0,0.0,
acct_00113,tenant_002,saas,10,4222.74,165,51.8,0,338,2025-12-26,0,0.0,
acct_00114,tenant_003,saas,5,9600.21,301,44.2,2,127,2025-12-20,0,0.0,
acct_00115,tenant_004,saas,17,27361.1,584,88.9,0,334,2025-12-20,1,36991.65,2026-01-16
acct_00116,tenant_005,saas,3,2605.84,200,37.5,1,201,2025-12-14,0,0.0,
acct_00117,tenant_006,healthcare,4,18123.92,107,81.5,0,204,2026-01-05,1,21441.08,2026-02-06
acct_00118,tenant_007,healthcare,19,13753.29,436,55.2,1,335,2025-12-26,0,0.0,
acct_00119,tenant_008,saas,9,14955.61,2000,60.4,2,271,2025-12-29,1,8245.64,2026-03-17
acct_00120,tenant_009,retail,9,5173.83,286,59.6,1,328,2026-01-01,0,0.0,
acct_00121,tenant_010,saas,6,8293.18,700,41.6,2,344,2025-12-21,0,0.0,
acct_00122,tenant_011,saas,9,12439.17,1592,48.1,4,93,2025-12-10,0,0.0,
acct_00123,tenant_012,manufacturing,4,10912.11,549,33.9,1,187,2025-12-20,1,9581.92,2026-03-07
acct_00124,tenant_013,manufacturing,2,14070.73,513,39.8,1,115,2025-12-13,0,0.0,
acct_00125,tenant_014,healthcare,7,2395.38,269,24.1,0,112,2025-12-31,0,0.0,
acct_00126,tenant_015,saas,5,1272.53,169,16.9,1,23,2025-12-19,0,0.0,
acct_00127,tenant_016,saas,14,15550.62,483,74.6,0,364,2026-01-04,1,34021.39,2026-03-20
acct_00128,tenant_017,saas,25,51871.45,1105,100.0,0,21,2025-12-17,1,38139.49,2026-02-18
acct_00129,tenant_018,healthcare,10,8408.79,125,76.7,0,144,2025-12-27,0,0.0,
acct_00130,tenant_019,saas,3,6132.8,389,30.6,3,76,2025-12-28,0,0.0,
acct_00131,tenant_020,saas,8,6700.7,326,49.6,0,157,2025-12-13,0,0.0,
acct_00132,tenant_021,saas,19,46388.52,392,98.0,2,32,2025-12-31,1,104685.27,2026-01-29
acct_00133,tenant_022,manufacturing,12,3016.63,64,36.9,3,181,2025-12-12,0,0.0,
acct_00134,tenant_023,healthcare,2,3635.8,385,34.1,2,96,2026-01-04,0,0.0,
acct_00135,tenant_024,finance,8,9257.34,152,83.7,1,289,2025-12-24,0,0.0,
acct_00136,tenant_025,finance,3,10209.11,379,43.4,1,211,2025-12-12,0,0.0,
acct_00137,tenant_026,healthcare,8,7574.46,304,59.1,1,10,2025-12-27,0,0.0,
acct_00138,tenant_027,manufacturing,23,35888.11,705,90.6,1,301,2025-12-20,1,43532.81,2026-03-23
acct_00139,tenant_028,healthcare,3,4194.87,129,17.7,0,226,2025-12-10,0,0.0,
acct_00140,tenant_029,finance,8,11455.38,439,33.9,1,290,2025-12-15,0,0.0,
acct_00141,tenant_030,healthcare,18,36248.99,67,100.0,1,264,2025-12-13,0,0.0,
acct_00142,tenant_031,manufacturing,6,4893.92,380,37.5,1,345,2025-12-30,1,4415.79,2026-01-14
acct_00143,tenant_032,saas,14,23747.08,630,62.0,3,362,2025-12-21,0,0.0,
acct_00144,tenant_033,saas,10,6439.46,645,47.1,1,217,2025-12-13,0,0.0,
acct_00145,tenant_034,healthcare,9,2323.88,438,57.1,0,194,2025-12-15,0,0.0,
acct_00146,tenant_035,finance,10,8127.24,381,50.1,2,159,2025-12-22,0,0.0,
acct_00147,tenant_036,finance,21,29741.17,499,88.8,0,22,2025-12-20,1,23317.25,2026-03-09
acct_00148,tenant_000,saas,4,15619.87,419,54.6,0,122,2025-12-20,0,0.0,
acct_00149,tenant_001,manufacturing,7,1237.32,771,24.2,0,315,2025-12-16,0,0.0,
acct_00150,tenant_002,saas,8,22773.13,469,76.7,1,31,2025-12-16,1,11522.07,2026-02-17
acct_00151,tenant_003,saas,5,2446.98,262,9.9,1,56,2025-12-20,0,0.0,
acct_00152,tenant_004,retail,9,9564.89,261,49.0,1,206,2025-12-08,0,0.0,
acct_00153,tenant_005,retail,5,8619.46,446,25.1,1,43,2025-12-16,0,0.0,
acct_00154,tenant_006,manufacturing,3,1571.23,228,18.1,1,135,2025-12-19,0,0.0,
acct_00155,tenant_007,manufacturing,18,4562.78,197,62.5,0,9,2025-12-29,1,6215.09,2026-01-20
acct_00156,tenant_008,finance,4,5066.58,266,30.1,1,362,2025-12-24,0,0.0,
acct_00157,tenant_009,finance,5,20843.97,157,56.9,0,154,2025-12-12,1,38121.3,2026-01-25
acct_00158,tenant_010,retail,7,15214.08,620,48.5,1,43,2025-12-22,0,0.0,
acct_00159,tenant_011,finance,6,20071.47,940,42.2,1,301,2025-12-27,0,0.0,
acct_00160,tenant_012,saas,12,10834.59,1089,65.1,4,267,2025-12-29,1,7535.75,2026-02-01
acct_00161,tenant_013,finance,5,13953.03,354,37.1,0,43,2025-12-10,0,0.0,
acct_00162,tenant_014,manufacturing,13,17672.27,538,71.4,0,156,2025-12-07,1,20140.97,2026-01-23
acct_00163,tenant_015,retail,2,5141.17,215,33.0,1,308,2025-12-07,0,0.0,
acct_00164,tenant_016,saas,10,9972.98,333,73.1,2,38,2025-12-18,0,0.0,
acct_00165,tenant_017,retail,11,12669.71,705,58.6,0,258,2025-12-08,0,0.0,
acct_00166,tenant_018,saas,9,14599.89,230,62.1,1,239,2026-01-03,0,0.0,
acct_00167,tenant_019,saas,6,4065.27,503,17.1,0,332,2025-12-28,0,0.0,
acct_00168,tenant_020,manufacturing,11,2128.2,83,62.4,0,240,2025-12-13,0,0.0,
acct_00169,tenant_021,healthcare,18,13144.92,589,70.8,0,256,2026-01-01,1,9119.64,2026-02-04
acct_00170,tenant_022,saas,4,1079.24,181,25.7,4,285,2026-01-04,0,0.0,
acct_00171,tenant_023,manufacturing,11,11508.49,491,70.1,1,44,2026-01-04,1,16912.62,2026-01-14
acct_00172,tenant_024,healthcare,13,15429.12,527,76.6,1,36,2026-01-05,1,20458.8,2026-03-06
acct_00173,tenant_025,healthcare,7,2743.08,699,31.7,0,55,2025-12-10,0,0.0,
acct_00174,tenant_026,healthcare,10,3761.86,359,37.3,0,23,2026-01-03,0,0.0,
acct_00175,tenant_027,finance,6,14150.21,124,63.9,3,250,2025-12-15,0,0.0,
acct_00176,tenant_028,retail,9,7503.67,84,62.5,0,79,2025-12-19,1,7796.28,2026-02-27
acct_00177,tenant_029,saas,2,11260.07,379,29.7,0,316,2025-12-10,0,0.0,
acct_00178,tenant_030,healthcare,4,2909.37,87,19.6,3,215,2026-01-04,0,0.0,
acct_00179,tenant_031,finance,3,1695.49,523,33.6,0,111,2025-12-28,0,0.0,
acct_00180,tenant_032,manufacturing,16,48475.03,958,92.5,1,48,2026-01-02,1,36649.68,2026-01-13
acct_00181,tenant_033,saas,9,5620.47,197,62.6,1,157,2025-12-29,0,0.0,
acct_00182,tenant_034,retail,7,3708.35,293,41.0,1,118,2025-12-24,0,0.0,
acct_00183,tenant_035,finance,17,10924.46,242,71.8,0,87,2025-12-30,1,17802.48,2026-01-09
acct_00184,tenant_036,finance,10,7235.2,244,55.1,1,293,2025-12-31,0,0.0,
acct_00185,tenant_000,healthcare,7,8180.77,755,68.4,3,359,2026-01-01,0,0.0,
acct_00186,tenant_001,healthcare,6,6069.2,126,18.1,4,166,2025-12-26,0,0.0,
acct_00187,tenant_002,manufacturing,10,5365.87,862,51.6,1,362,2025-12-28,0,0.0,
acct_00188,tenant_003,finance,14,13636.77,497,59.1,2,13,2025-12-29,1,17011.93,2026-03-13
acct_00189,tenant_004,healthcare,9,4358.24,96,54.2,1,242,2025-12-16,0,0.0,
acct_00190,tenant_005,manufacturing,3,6764.49,105,36.6,4,111,2025-12-12,0,0.0,
acct_00191,tenant_006,manufacturing,11,13911.27,662,67.4,2,36,2026-01-03,0,0.0,
acct_00192,tenant_007,manufacturing,10,9527.14,120,39.3,2,91,2025-12-30,0,0.0,
acct_00193,tenant_008,finance,15,27383.17,939,50.6,2,126,2026-01-05,1,14409.43,2026-02-19
acct_00194,tenant_009,healthcare,6,5008.46,172,40.8,1,361,2026-01-03,0,0.0,
acct_00195,tenant_010,manufacturing,15,22649.44,234,99.5,1,241,2025-12-15,1,39835.13,2026-02-08
acct_00196,tenant_011,retail,5,1247.96,138,26.3,3,152,2026-01-05,0,0.0,
acct_00197,tenant_012,manufacturing,11,2768.34,53,60.1,1,140,2025-12-19,0,0.0,
acct_00198,tenant_013,manufacturing,8,2944.4,166,18.0,0,21,2025-12-22,0,0.0,
acct_00199,tenant_014,saas,4,3218.2,97,44.5,4,281,2026-01-02,0,0.0,
acct_00200,tenant_015,healthcare,8,4945.95,209,56.3,0,120,2026-01-01,1,6725.42,2026-03-20
acct_00201,tenant_016,finance,23,47897.32,620,80.4,0,361,2026-01-05,1,87832.43,2026-01-25
acct_00202,tenant_017,finance,7,10942.98,79,37.0,1,87,2025-12-08,0,0.0,
acct_00203,tenant_018,healthcare,5,3419.17,260,17.4,3,359,2025-12-15,0,0.0,
acct_00204,tenant_019,manufacturing,2,5863.37,1760,5.3,4,31,2025-12-24,0,0.0,
acct_00205,tenant_020,finance,3,3984.01,512,11.2,6,195,2025-12-19,0,0.0,
acct_00206,tenant_021,manufacturing,3,8472.24,1298,31.4,3,218,2025-12-09,0,0.0,
acct_00207,tenant_022,finance,10,4012.29,58,44.3,0,321,2025-12-28,0,0.0,
acct_00208,tenant_023,finance,4,3541.21,515,6.4,0,304,2025-12-13,0,0.0,
acct_00209,tenant_024,saas,12,7107.88,536,60.5,2,273,2025-12-23,1,22963.81,2026-03-12
acct_00210,tenant_025,manufacturing,8,20965.1,773,59.8,1,295,2025-12-14,1,39158.17,2026-02-06
acct_00211,tenant_026,saas,13,14810.49,494,70.1,0,205,2025-12-11,1,15623.04,2026-01-15
acct_00212,tenant_027,saas,19,32853.29,563,90.0,1,262,2026-01-02,1,67124.21,2026-01-09
acct_00213,tenant_028,manufacturing,11,7176.21,50,75.9,0,148,2025-12-28,1,4767.79,2026-01-10
acct_00214,tenant_029,finance,8,4028.16,219,40.5,3,354,2025-12-17,0,0.0,
acct_00215,tenant_030,saas,6,7617.3,473,65.7,2,210,2025-12-29,0,0.0,
acct_00216,tenant_031,healthcare,6,10895.47,446,21.2,5,44,2025-12-23,0,0.0,
acct_00217,tenant_032,retail,14,8408.15,172,70.0,0,18,2025-12-22,1,7297.92,2026-02-19
acct_00218,tenant_033,retail,10,5028.6,499,74.3,0,87,2025-12-09,0,0.0,
acct_00219,tenant_034,manufacturing,5,4249.39,465,50.4,1,89,2025-12-23,0,0.0,
acct_00220,tenant_035,manufacturing,10,11848.83,288,54.5,2,318,2025-12-31,0,0.0,
acct_00221,tenant_036,finance,6,8392.97,185,48.9,2,291,2025-12-16,0,0.0,
acct_00222,tenant_000,saas,10,3063.33,292,46.6,2,171,2025-12-19,0,0.0,
acct_00223,tenant_001,manufacturing,13,5849.81,123,66.0,1,93,2025-12-31,0,0.0,
acct_00224,tenant_002,saas,19,28035.35,122,92.1,0,229,2025-12-08,1,39515.08,2026-02-01
acct_00225,tenant_003,finance,5,15162.19,149,61.3,0,114,2025-12-17,1,10747.76,2026-01-16
acct_00226,tenant_004,saas,4,8028.04,536,20.6,4,93,2025-12-09,0,0.0,
acct_00227,tenant_005,saas,1,15159.71,734,32.5,4,121,2025-12-30,0,0.0,
acct_00228,tenant_006,manufacturing,3,8929.33,591,38.3,1,280,2025-12-18,0,0.0,
acct_00229,tenant_007,saas,12,19666.01,287,79.9,0,28,2026-01-04,1,23829.38,2026-01-23
acct_00230,tenant_008,saas,2,2115.8,386,0.0,2,245,2025-12-16,0,0.0,
acct_00231,tenant_009,retail,0,17182.15,976,40.6,0,282,2026-01-01,0,0.0,
acct_00232,tenant_010,healthcare,13,25143.21,207,73.3,1,27,2025-12-15,0,0.0,
acct_00233,tenant_011,retail,14,16294.01,504,83.8,0,16,2025-12-17,1,15187.0,2026-04-02
acct_00234,tenant_012,finance,3,9629.85,447,62.0,4,76,2025-12-07,0,0.0,
acct_00235,tenant_013,retail,7,4646.15,280,52.8,0,115,2026-01-04,0,0.0,
acct_00236,tenant_014,finance,8,6078.62,193,55.4,1,261,2025-12-11,1,6079.76,2026-01-29
acct_00237,tenant_015,manufacturing,5,4415.37,466,26.6,2,203,2025-12-21,0,0.0,
acct_00238,tenant_016,manufacturing,12,6813.72,707,64.3,1,277,2025-12-08,0,0.0,
acct_00239,tenant_017,manufacturing,1,3048.5,1714,0.0,2,31,2026-01-02,0,0.0,
acct_00240,tenant_018,saas,6,10576.12,1176,49.6,2,208,2026-01-02,0,0.0,
acct_00241,tenant_019,healthcare,23,31576.68,387,72.2,0,322,2026-01-01,1,35347.66,2026-03-18
acct_00242,tenant_020,saas,17,31706.61,341,68.3,0,331,2025-12-23,1,33344.67,2026-01-08
acct_00243,tenant_021,finance,7,19052.88,305,70.4,1,260,2026-01-02,0,0.0,
acct_00244,tenant_022,finance,12,23359.02,246,41.8,0,255,2026-01-02,0,0.0,
acct_00245,tenant_023,finance,5,14703.83,423,58.4,0,212,2026-01-02,1,13113.73,2026-01-19
acct_00246,tenant_024,saas,3,3986.65,772,3.9,5,62,2025-12-30,0,0.0,
acct_00247,tenant_025,healthcare,7,13648.66,528,39.5,0,85,2025-12-21,0,0.0,
acct_00248,tenant_026,retail,9,4065.11,311,59.4,1,307,2025-12-13,0,0.0,
acct_00249,tenant_027,finance,6,10796.99,234,42.1,0,142,2025-12-29,1,27079.03,2026-01-21
acct_00250,tenant_028,healthcare,12,7039.71,339,57.7,1,251,2025-12-30,0,0.0,
acct_00251,tenant_029,manufacturing,1,6068.14,505,20.0,1,162,2025-12-28,0,0.0,
acct_00252,tenant_030,retail,7,2690.73,124,42.2,1,357,2026-01-03,0,0.0,
acct_00253,tenant_031,manufacturing,9,3106.43,137,41.3,1,34,2025-12-18,1,5121.91,2026-01-21
acct_00254,tenant_032,healthcare,11,4310.74,204,24.1,3,284,2025-12-16,0,0.0,
acct_00255,tenant_033,finance,11,31689.37,1707,65.5,0,79,2025-12-18,1,34611.94,2026-01-28
acct_00256,tenant_034,retail,10,7860.32,273,63.4,2,39,2025-12-21,0,0.0,
acct_00257,tenant_035,finance,8,16436.96,250,71.7,1,76,2025-12-26,1,23536.79,2026-02-27
acct_00258,tenant_036,saas,7,16232.91,147,68.9,0,139,2025-12-25,0,0.0,
acct_00259,tenant_000,manufacturing,13,4992.13,90,60.4,3,69,2025-12-08,0,0.0,
acct_00260,tenant_001,healthcare,8,7961.86,136,53.9,3,40,2025-12-28,0,0.0,
acct_00261,tenant_002,finance,2,3602.83,232,12.4,8,98,2025-12-09,0,0.0,
acct_00262,tenant_003,saas,12,10032.36,247,62.5,1,185,2025-12-13,1,20520.89,2026-04-01
acct_00263,tenant_004,finance,6,25106.88,360,80.8,0,57,2025-12-21,1,19727.69,2026-03-30
acct_00264,tenant_005,retail,7,1973.22,599,15.0,8,261,2026-01-05,0,0.0,
acct_00265,tenant_006,manufacturing,2,2266.9,364,11.9,2,290,2026-01-03,0,0.0,
acct_00266,tenant_007,saas,5,22660.38,1577,41.5,2,196,2025-12-27,1,19307.13,2026-01-08
acct_00267,tenant_008,saas,14,5635.29,98,46.0,2,173,2025-12-29,1,10109.65,2026-03-13
acct_00268,tenant_009,healthcare,11,2097.83,210,48.7,0,197,2025-12-12,0,0.0,
acct_00269,tenant_010,manufacturing,6,9924.38,133,63.1,2,1,2025-12-08,1,16439.93,2026-02-25
acct_00270,tenant_011,saas,6,3181.15,54,52.1,1,91,2025-12-18,0,0.0,
acct_00271,tenant_012,manufacturing,10,5729.95,287,45.7,0,241,2025-12-24,1,9615.94,2026-03-06
acct_00272,tenant_013,retail,9,4593.21,239,45.9,1,37,2026-01-04,1,6433.36,2026-02-03
acct_00273,tenant_014,healthcare,5,1228.71,296,19.9,2,167,2025-12-20,0,0.0,
acct_00274,tenant_015,manufacturing,9,4001.61,290,58.4,1,363,2025-12-13,0,0.0,
acct_00275,tenant_016,saas,17,12872.2,437,71.8,0,84,2025-12-07,1,21281.95,2026-01-28
acct_00276,tenant_017,healthcare,13,8965.58,360,59.9,0,114,2025-12-21,0,0.0,
acct_00277,tenant_018,manufacturing,5,9962.4,220,50.0,1,54,2025-12-20,0,0.0,
acct_00278,tenant_019,finance,5,6708.28,78,58.5,0,239,2025-12-28,1,7310.1,2026-01-16
acct_00279,tenant_020,retail,13,1524.82,67,72.0,1,134,2025-12-24,0,0.0,
acct_00280,tenant_021,saas,7,4077.42,252,46.9,0,217,2025-12-17,0,0.0,
acct_00281,tenant_022,manufacturing,10,9889.6,391,53.2,4,248,2025-12-10,0,0.0,
